zone_class,centroid_lon,centroid_lat,geometry_type
residential,72.556276,23.000789,MultiPolygon
residential,72.609414,22.992317,MultiPolygon
residential,72.65529,23.073705,MultiPolygon
residential,72.644175,23.057443,MultiPolygon
residential,72.676652,23.068977,MultiPolygon
residential,72.6814,23.070004,MultiPolygon
residential,72.610295,22.991598,MultiPolygon
residential,72.66622,23.06904,MultiPolygon
residential,72.685363,23.108584,MultiPolygon
residential,72.599535,23.055924,MultiPolygon
residential,72.602939,23.053891,MultiPolygon
residential,72.607187,23.056341,MultiPolygon
residential,72.619547,23.0611,MultiPolygon
residential,72.603938,23.056977,MultiPolygon
residential,72.601897,23.056322,MultiPolygon
residential,72.598613,23.059313,MultiPolygon
residential,72.603367,23.073741,MultiPolygon
residential,72.600915,23.057216,MultiPolygon
residential,72.603446,23.048283,MultiPolygon
residential,72.618292,23.040791,MultiPolygon
residential,72.653794,23.06043,MultiPolygon
residential,72.628283,23.08135,MultiPolygon
residential,72.639663,23.088791,MultiPolygon
residential,72.474657,23.021568,MultiPolygon
residential,72.674063,23.079534,MultiPolygon
residential,72.609825,22.993003,MultiPolygon
residential,72.62609,23.008204,MultiPolygon
residential,72.62469,23.00821,MultiPolygon
residential,72.620427,23.005279,MultiPolygon
residential,72.61871,23.004196,MultiPolygon
residential,72.616587,23.008845,MultiPolygon
residential,72.65839,23.113283,MultiPolygon
residential,72.659049,23.11264,MultiPolygon
residential,72.660964,23.112786,MultiPolygon
residential,72.445373,23.018148,MultiPolygon
residential,72.662035,23.108709,MultiPolygon
residential,72.659045,23.10446,MultiPolygon
residential,72.658452,23.10501,MultiPolygon
residential,72.653753,23.059587,MultiPolygon
residential,72.667282,23.104955,MultiPolygon
